,Unnamed: 0,lastName,firstName,state,party,chamber,gender,birthday,raceEthnicity,pre2018incumbent,citizenPopulation,medianHouseholdIncome,TweetCongress
0,0,Abraham,Ralph,LA,1,-0.5,-0.5,24169,1,1,744070.0,36718.0,RepAbraham
1,1,Adams,Alma,NC,-1,-0.5,0.5,27203,-0.5,1,727330.0,59268.0,RepAdams
2,2,Aderholt,Robert,AL,1,-0.5,-0.5,20207,1,1,664720.0,41110.0,Robert_Aderholt
3,3,Aguilar,Pete,CA,-1,-0.5,-0.5,15127,0,1,650185.0,58668.0,reppeteaguilar
4,4,Alexander,Lamar,TN,1,0.5,-0.5,29357,1,-0.33,6349395.0,48708.0,SenAlexander
5,5,Allen,Rick,GA,1,-0.5,-0.5,25213,1,1,692875.0,43933.0,reprickallen
6,6,Allred,Colin,TX,-1,-0.5,-0.5,13731,-0.5,-1,646990.0,70119.0,RepColinAllred
7,7,Amash,Justin,MI,0,-0.5,-0.5,14823,1,1,702545.0,57926.0,justinamash
8,8,Amata,Aumua,AS,1,-0.5,0.5,26622,1,1,0.0,0.0,RepAmata
9,9,Amodei,Mark,NV,1,-0.5,-0.5,22804,1,1,647720.0,58214.0,MarkAmodeiNV2
10,10,Armstrong,Kelly,ND,1,-0.5,-0.5,16111,1,0.33,721470.0,60656.0,RepArmstrongND
11,11,Arrington,Jodey,TX,1,-0.5,-0.5,17785,1,1,681915.0,47875.0,RepArrington
12,12,Axne,Cynthia,IA,-1,-0.5,0.5,20300,1,-1,770860.0,62323.0,RepCindyAxne
13,13,Babin,Brian,TX,1,-0.5,-0.5,26537,1,1,675240.0,58984.0,RepBrianBabin
14,14,Bacon,Don,NE,1,-0.5,-0.5,20913,1,1,607555.0,62621.0,repdonbacon
15,15,Baird,James,IN,1,-0.5,-0.5,27560,1,0.33,713020.0,53996.0,RepJimBaird
16,16,Balderson,Troy,OH,1,-0.5,-0.5,21490,1,1,735190.0,67415.0,RepBalderson
17,17,Baldwin,Tammy,WI,-1,0.5,0.5,21464,1,1,5599335.0,56759.0,SenatorBaldwin
18,18,Banks,Jim,IN,1,-0.5,-0.5,15100,1,1,715145.0,51453.0,RepJimBanks
19,19,Barr,Garland,KY,1,-0.5,-0.5,17283,1,1,723805.0,50659.0,RepAndyBarr
20,20,Barragan,Nanette,CA,-1,-0.5,0.5,16134,0,1,574950.0,50890.0,RepBarragan
21,21,Barrasso,John,WY,1,0.5,-0.5,24956,1,1,570345.0,60938.0,SenJohnBarrasso
22,22,Bass,Karen,CA,-1,-0.5,0.5,24517,-0.5,1,592380.0,55190.0,RepKarenBass
23,23,Beatty,Joyce,OH,-1,-0.5,0.5,25818,-0.5,1,709160.0,45860.0,RepBeatty
24,24,Bennet,Michael,CO,-1,0.5,-0.5,20443,1,-0.33,5041535.0,65458.0,SenatorBennet
25,25,Bera,Ami,CA,-1,-0.5,-0.5,20349,-1,1,681615.0,68735.0,RepBera
26,26,Bergman,Jack,MI,1,-0.5,-0.5,26952,1,1,695750.0,46927.0,RepJackBergman
27,27,Beyer,Donald,VA,-1,-0.5,-0.5,25718,1,1,655370.0,100719.0,RepDonBeyer
28,28,Biggs,Andy,AZ,1,-0.5,-0.5,22656,1,1,728335.0,71693.0,RepAndyBiggsAZ
29,29,Bilirakis,Gus,FL,1,-0.5,-0.5,21102,1,1,701195.0,49774.0,RepGusBilirakis
30,30,Bishop,Sanford,GA,-1,-0.5,-0.5,26950,-0.5,1,670425.0,35617.0,SanfordBishop
31,31,Bishop,Rob,UT,1,-0.5,-0.5,25330,1,1,704790.0,65896.0,RepRobBishop
32,32,Blackburn,Marsha,TN,1,0.5,0.5,25001,1,0.33,6349395.0,48708.0,MarshaBlackburn
33,33,Blumenauer,Earl,OR,-1,-0.5,-0.5,26391,1,1,752315.0,63231.0,BlumenauerMedia
34,34,Blumenthal,Richard,CT,-1,0.5,-0.5,27306,1,-0.33,3333940.0,73781.0,SenBlumenthal
35,35,Blunt,Roy,MO,1,0.5,-0.5,25879,1,-0.33,5930025.0,51542.0,RoyBlunt
36,36,Blunt Rochester,Lisa,DE,-1,-0.5,0.5,21465,-0.5,1,890715.0,61757.0,RepLBR
37,37,Bonamici,Suzanne,OR,-1,-0.5,0.5,24141,1,1,742215.0,72097.0,RepBonamici
38,38,Booker,Cory,NJ,-1,0.5,-0.5,18832,-0.5,-0.33,8019215.0,76475.0,SenBooker
39,39,Boozman,John,AR,1,0.5,-0.5,25545,1,-0.33,2874015.0,43813.0,JohnBoozman
40,40,Bost,Mike,IL,1,-0.5,-0.5,21872,1,1,694380.0,47430.0,RepBost
