,lastName,firstName,state,party,chamber,gender,birthday,raceEthnicity,pre2018incumbent,citizenPopulation,medianHouseholdIncome,TweetCongress
0,Abraham,Ralph,LA,Republican,rep,M,9/16/1954,White - Middle Eastern - Lebanese,Won,744070.0,36718.0,RepAbraham
1,Adams,Alma,NC,Democrat,rep,F,5/27/1946,Black - African-American,Won,727330.0,59268.0,RepAdams
2,Aderholt,Robert,AL,Republican,rep,M,7/22/1965,White - Non-Hispanic,Won,664720.0,41110.0,Robert_Aderholt
3,Aguilar,Pete,CA,Democrat,rep,M,6/19/1979,Hispanic - Mexican,Won,650185.0,58668.0,reppeteaguilar
4,Alexander,Lamar,TN,Republican,sen,M,7/3/1940,White - Non-Hispanic,Not up,6349395.0,48708.0,SenAlexander
5,Allen,Rick,GA,Republican,rep,M,11/7/1951,White - Non-Hispanic,Won,692875.0,43933.0,reprickallen
6,Allred,Colin,TX,Democrat,rep,M,,Black - African-American,Lost,646990.0,70119.0,RepColinAllred
7,Amash,Justin,MI,Republican,rep,M,4/18/1980,White - Middle Eastern - Palestinian/Syrian,Won,702545.0,57926.0,
8,Amata,Aumua,AS,Republican,rep,F,12/29/1947,,,,,RepAmata
9,Amodei,Mark,NV,Republican,rep,M,6/12/1958,White - Non-Hispanic,Won,647720.0,58214.0,MarkAmodeiNV2
10,Armstrong,Kelly,ND,Republican,rep,M,,White - Non-Hispanic,Open - Elected to Senate,721470.0,60656.0,RepArmstrongND
11,Arrington,Jodey,TX,Republican,rep,M,3/9/1972,White - Non-Hispanic,Won,681915.0,47875.0,RepArrington
12,Axne,Cynthia,IA,Democrat,rep,F,,White - Non-Hispanic,Lost,770860.0,62323.0,RepCindyAxne
13,Babin,Brian,TX,Republican,rep,M,3/23/1948,White - Non-Hispanic,Won,675240.0,58984.0,RepBrianBabin
14,Bacon,Don,NE,Republican,rep,M,8/16/1963,White - Non-Hispanic,Won,607555.0,62621.0,repdonbacon
15,Baird,James,IN,Republican,rep,M,,White - Non-Hispanic,Open - Ran for Senate,713020.0,53996.0,RepJimBaird
16,Balderson,Troy,OH,Republican,rep,M,1/16/1962,White - Non-Hispanic,Won,735190.0,67415.0,RepBalderson
17,Baldwin,Tammy,WI,Democrat,sen,F,2/11/1962,White - Non-Hispanic,Won,5599335.0,56759.0,SenatorBaldwin
18,Banks,Jim,IN,Republican,rep,M,7/16/1979,White - Non-Hispanic,Won,715145.0,51453.0,RepJimBanks
19,Barr,Garland,KY,Republican,rep,M,7/24/1973,White - Non-Hispanic,Won,723805.0,50659.0,RepAndyBarr
20,Barragan,Nanette,CA,Democrat,rep,F,9/15/1976,Hispanic - Mexican,Won,574950.0,50890.0,RepBarragan
21,Barrasso,John,WY,Republican,sen,M,7/21/1952,White - Non-Hispanic,Won,570345.0,60938.0,SenJohnBarrasso
22,Bass,Karen,CA,Democrat,rep,F,10/3/1953,Black - African-American,Won,592380.0,55190.0,RepKarenBass
23,Beatty,Joyce,OH,Democrat,rep,F,3/12/1950,Black - African-American,Won,709160.0,45860.0,RepBeatty
24,Bennet,Michael,CO,Democrat,sen,M,11/28/1964,White - Non-Hispanic,Not up,5041535.0,65458.0,SenatorBennet
25,Bera,Ami,CA,Democrat,rep,M,3/2/1965,Asian - Indian,Won,681615.0,68735.0,RepBera
26,Bergman,Jack,MI,Republican,rep,M,2/2/1947,White - Non-Hispanic,Won,695750.0,46927.0,RepJackBergman
