,lastName,firstName,state,party,chamber,gender,birthday,raceEthnicity,pre2018incumbent,citizenPopulation,medianHouseholdIncome,TweetCongress,reliability,tweets
0,Abraham,Ralph,LA,1,-0.5,-0.5,24172,1.0,1.0,744070.0,36718.0,repabraham,0.868421052631579,86.0
1,Adams,Alma,NC,-1,-0.5,0.5,27206,-0.5,1.0,727330.0,59268.0,repadams,0.7346938775510203,186.0
2,Aderholt,Robert,AL,1,-0.5,-0.5,20210,1.0,1.0,664720.0,41110.0,robert_aderholt,0.8247422680412371,114.0
3,Aguilar,Pete,CA,-1,-0.5,-0.5,15130,0.0,1.0,650185.0,58668.0,reppeteaguilar,0.7659574468085106,116.0
4,Alexander,Lamar,TN,1,0.5,-0.5,29360,1.0,-0.33,6349395.0,48708.0,senalexander,0.8618421052631579,346.0
5,Allen,Rick,GA,1,-0.5,-0.5,25216,1.0,1.0,692875.0,43933.0,reprickallen,0.8854961832061069,146.0
6,Allred,Colin,TX,-1,-0.5,-0.5,13734,-0.5,-1.0,646990.0,70119.0,repcolinallred,0.907563025210084,390.0
7,Amash,Justin,MI,0,-0.5,-0.5,14826,1.0,1.0,702545.0,57926.0,justinamash,0.5862068965517241,41.0
8,Amata,Aumua,AS,1,-0.5,0.5,26625,1.0,1.0,0.0,0.0,repamata,0.0,0.0
9,Amodei,Mark,NV,1,-0.5,-0.5,22807,1.0,1.0,647720.0,58214.0,markamodeinv2,0.9056603773584906,58.0
10,Armstrong,Kelly,ND,1,-0.5,-0.5,16114,1.0,0.33,721470.0,60656.0,reparmstrongnd,0.9219330855018587,290.0
11,Arrington,Jodey,TX,1,-0.5,-0.5,17788,1.0,1.0,681915.0,47875.0,reparrington,0.8468468468468469,128.0
12,Axne,Cynthia,IA,-1,-0.5,0.5,20303,1.0,-1.0,770860.0,62323.0,repcindyaxne,0.8908045977011494,386.0
13,Babin,Brian,TX,1,-0.5,-0.5,26540,1.0,1.0,675240.0,58984.0,repbrianbabin,0.5891472868217054,182.0
14,Bacon,Don,NE,1,-0.5,-0.5,20916,1.0,1.0,607555.0,62621.0,repdonbacon,0.8467153284671532,158.0
15,Baird,James,IN,1,-0.5,-0.5,27563,1.0,0.33,713020.0,53996.0,repjimbaird,0.8961038961038961,85.0
16,Balderson,Troy,OH,1,-0.5,-0.5,21493,1.0,1.0,735190.0,67415.0,repbalderson,0.9010989010989011,400.0
17,Baldwin,Tammy,WI,-1,0.5,0.5,21467,1.0,1.0,5599335.0,56759.0,senatorbaldwin,0.7560321715817695,464.0
18,Banks,Jim,IN,1,-0.5,-0.5,15103,1.0,1.0,715145.0,51453.0,repjimbanks,0.49350649350649356,116.0
19,Barr,Garland,KY,1,-0.5,-0.5,17286,1.0,1.0,723805.0,50659.0,repandybarr,0.8662790697674418,195.0
20,Barragan,Nanette,CA,-1,-0.5,0.5,16137,0.0,1.0,574950.0,50890.0,repbarragan,0.8149606299212598,301.0
21,Barrasso,John,WY,1,0.5,-0.5,24959,1.0,1.0,570345.0,60938.0,senjohnbarrasso,0.7516778523489933,186.0
22,Bass,Karen,CA,-1,-0.5,0.5,24520,-0.5,1.0,592380.0,55190.0,repkarenbass,0.7235772357723578,157.0
23,Beatty,Joyce,OH,-1,-0.5,0.5,25821,-0.5,1.0,709160.0,45860.0,repbeatty,0.47651006711409394,227.0
24,Bennet,Michael,CO,-1,0.5,-0.5,20446,1.0,-0.33,5041535.0,65458.0,senatorbennet,0.813953488372093,306.0
25,Bera,Ami,CA,-1,-0.5,-0.5,20352,-1.0,1.0,681615.0,68735.0,repbera,0.8144329896907216,460.0
26,Bergman,Jack,MI,1,-0.5,-0.5,26955,1.0,1.0,695750.0,46927.0,repjackbergman,0.8571428571428572,56.0
27,Beyer,Donald,VA,-1,-0.5,-0.5,25721,1.0,1.0,655370.0,100719.0,repdonbeyer,0.5562130177514792,244.0
28,Biggs,Andy,AZ,1,-0.5,-0.5,22659,1.0,1.0,728335.0,71693.0,repandybiggsaz,0.7219730941704036,285.0
29,Bilirakis,Gus,FL,1,-0.5,-0.5,21105,1.0,1.0,701195.0,49774.0,repgusbilirakis,0.8863636363636364,147.0
30,Bishop,Sanford,GA,-1,-0.5,-0.5,26953,-0.5,1.0,670425.0,35617.0,sanfordbishop,0.8309859154929577,83.0
31,Bishop,Rob,UT,1,-0.5,-0.5,25333,1.0,1.0,704790.0,65896.0,reprobbishop,0.0,0.0
32,Blackburn,Marsha,TN,1,0.5,0.5,25004,1.0,0.33,6349395.0,48708.0,marshablackburn,0.3913043478260869,74.0
33,Blumenauer,Earl,OR,-1,-0.5,-0.5,26394,1.0,1.0,752315.0,63231.0,repblumenauer,0.6886792452830188,139.0
34,Blumenthal,Richard,CT,-1,0.5,-0.5,27309,1.0,-0.33,3333940.0,73781.0,senblumenthal,0.7,286.0
35,Blunt,Roy,MO,1,0.5,-0.5,25882,1.0,-0.33,5930025.0,51542.0,royblunt,0.8398876404494382,413.0
36,Blunt Rochester,Lisa,DE,-1,-0.5,0.5,21468,-0.5,1.0,890715.0,61757.0,replbr,0.8484848484848485,266.0
37,Bonamici,Suzanne,OR,-1,-0.5,0.5,24144,1.0,1.0,742215.0,72097.0,repbonamici,0.7453416149068324,202.0
38,Booker,Cory,NJ,-1,0.5,-0.5,18835,-0.5,-0.33,8019215.0,76475.0,senbooker,0.7992831541218638,335.0
39,Boozman,John,AR,1,0.5,-0.5,25548,1.0,-0.33,2874015.0,43813.0,johnboozman,0.9184397163120568,305.0
40,Bost,Mike,IL,1,-0.5,-0.5,21875,1.0,1.0,694380.0,47430.0,repbost,0.9230769230769231,154.0
41,Boyle,Brendan,PA,-1,-0.5,-0.5,15993,1.0,1.0,665528.0,0.0,congboyle,0.8867924528301887,354.0
42,Brady,Kevin,TX,1,-0.5,-0.5,23965,1.0,1.0,719700.0,64861.0,repkevinbrady,0.8100358422939068,332.0
43,Braun,Mike,IN,1,0.5,-0.5,24348,1.0,-1.0,6385820.0,52182.0,senatorbraun,0.7714285714285715,215.0
