author,t_id,t_time,covid related?,Reliability Score,Tweet Text
SenSherrodBrown,1320829778220457990,2020-10-26 20:48:53,0,-1,Every single Senator who votes tonight to confirm Amy Coney Barrett is willing to risk taking away health care for millions of people and eliminating protections for pre-existing conditions.  Watch closely.
SusanWBrooks,1176487542998339584,2019-09-24 13:24:22,0,-1,"@POTUS @RepAnnaEshoo #PAHPA better prepares us for natural disasters, biological, chemical, radiological &amp; nuclear threats. It ensures our #healthcare professionals are trained to respond to possible pandemic outbreaks &amp; so much more ⬇️ https://t.co/od1Nn66AoM"
SenatorCarper,1254791839485292545,2020-04-27 15:17:42,1,-1,"As we learn more about the link between PM pollution and COVID-19, it should be painfully obvious to @EPA by now that we need stronger, more protective clean air standards. https://t.co/9rMeMHMt21"
SenWhitehouse,1285214031301824514,2020-07-20 14:04:37,1,-1,"Right, cut covid funding as deaths &amp; new cases reach new records. You can’t help wondering if Republicans have completely taken leave of their senses.   https://t.co/yNVCaEUxKB"
RepDavidTrone,1308488122741788674,2020-09-22 19:27:33,1,-1,"President Trump deliberately lied about the threat of #COVID19 and we lost over 200,000 American lives as a result. It didn’t have to be this way.  https://t.co/UvXydnkYwn"
SenatorBaldwin,1320763527339134977,2020-10-26 16:25:38,1,-1,".@VP Pence is the head of the White House #COVID19 Task Force and the Trump Administration has made it clear, “We’re not going to control the pandemic.”   Pence should be in quarantine and start working to #StoptheSpread of this deadly virus. https://t.co/y9V65E10QM"
RepLarryBucshon,1311770782318628874,2020-10-01 20:51:40,1,-1,"RT @SteveScalise: Some things never change.  Pelosi's ""new"" COVID bill isn't new.  It's her same old wish list.  - Stimulus checks to illeg…"
SenBobCasey,1286335625004822529,2020-07-23 16:21:26,1,-1,"Claim #2: “the Republican plan is focused on saving lives.”  The President wore a mask for the first time last week, over 144k American deaths into the pandemic. Have you seen Senate Republicans urging him to wear a mask? Or demanding a national testing strategy? Didn't think so."
RepMarkGreen,1286705226435764225,2020-07-24 16:50:06,1,-1,"In response to my amendment to hold Chinese vaccine hackers accountable, @RepAdamSmith, when speaking about China's obligations to the global health community said, ""it wasn't China's job to warn the American people.""  I'm sure the families that lost loved ones would disagree. https://t.co/530nGylYZl"
RepJoeKennedy,1288524354096107528,2020-07-29 17:18:40,1,-1,"We didn’t have enough tests. We still don’t.  We didn’t have enough masks. We still don’t.   We didn’t have enough ventilators. We still don’t.   We didn’t have a President who cared Americans were dying.  150,00 deaths later, we still don’t."
