,Tweet
0,"Today, @MayorTatum, @USACEHQ, &amp; I cut the ribbon for the Water Street project in Barboursville to stabilize over 800 ft of riverbank to reduce erosion. This project strengthens our infrastructure, secures our roadways, and showcases the beautiful Guyandotte River. https://t.co/SroHDBKmli"
1,"RT @SBAgov: #TuesdayTip: SBA has resources to help you: 
🏪 Rebuild your small business.
😷 Keep employees safe and healthy.
🏘️ Revitalize yo…"
2,"Democrats have repeatedly held up crucial #COVID19 relief, most recently blocking a $500 billion relief package in the Senate. 

The American people need and deserve better than this. It is long past the time to deliver for our communities. https://t.co/Gqt6g6HCn9"
3,I am saddened to hear of the passing of Bob Murray. He was a man of strong faith and a trailblazer who had a substantial impact on Appalachia and America. Bob's family and friends will be in my prayers tonight.
4,This is an excellent opportunity for any high school senior looking to go to medical school. I am excited to see our next generation of doctors come through this program and help keep our communities healthy! #GoDO!  🩺 https://t.co/wltsfroWjp
5,I ended the week at Coronado Coal’s Eagle #1 Mine. They play an instrumental role in keeping West Virginians employed and supplying high-quality coal. I am committed to advocating for WV energy to help build and power the world. https://t.co/kYpsn1iBjd
6,"My last stop today was at the @MU_Incubator. In a time when small business owners need more support than ever, I am glad to see this facility assist local entrepreneurs and students who wish to start their own business. https://t.co/EHzlKeSK1I"
7,I am happy to see @LilysPlaceWV expanding their services! Thank you for showing me the new building that will increase the amount of care available to mothers and children recovering from addiction. Together we are ending the opioid epidemic one family at a time! https://t.co/jDOhVV9Z6q
8,"Today we dedicated the Wood Brothers Veterans Memorial Bridge in Point Pleasant. 

Thank you to Charlie, Lewis, Emo, Raymond, Donald, Robert, Paul, Bill, &amp; their father William. I hope all who drive across this bridge remember your commitment to freedom &amp; service to our country. https://t.co/9ia8BsjS7B"
9,"Manufacturing is the backbone of America’s economy. This @MFGDay, I thank the essential workers who have kept our nation running during this pandemic and I join them in raising awareness of the industry’s need for future creators. https://t.co/zd8Sk8zMUG #MFGDay20 #CreatorsWanted"
10,"My prayers are with @realDonaldTrump and @FLOTUS as they recover from #COVID19. 

We are wishing for a swift and full recovery!"
11,"It is time to put American First and: 

- Hold the CCP accountable for their role in the COVID-19 pandemic
- Secure our supply chain &amp; create US jobs
- Bolster our national security
- Keep US tech cutting edge
- Improve economic competitiveness"
12,"Tonight, I joined my colleagues in signing the discharge petition to force Speaker Pelosi to hold a vote on #PPP funding. 

As we recover from #COVID19, our nation’s small businesses need our support to keep their doors open and employees paid. 

It is long past the time to act. https://t.co/CXCPZN9iXR"
13,"It is disappointing that Washington Liberals continue to play politics instead of supporting America's hard-working small businesses. 

While we rebuild our economy, we must join together to help our communities recover from #COVIDー19. https://t.co/ymrWlxT8IO"
14,"""Our country was founded on ideals that promote civility and security for all Americans. We need to unify around a shared goal of law and order, to stop the rioters and anarchists who burn our cities and threaten our law enforcement.""

https://t.co/J1qacJ2N9M"
