,Tweet
0,"After a historic recession, our economy experienced the largest economic growth ever recorded in American history this quarter. 

Sound economic policy and common-sense COVID-19 preventative measures will ensure that the U.S. continues to bounce back. 
https://t.co/cLR5Dc17lF"
1,"This #NationalDayOfTheDeployed, I would like to thank our brave men and women in uniform who serve and have served the United States around the globe and their families who bear that burden. 

Your dedication and sacrifice are truly inspirational. https://t.co/PR8qqpgYaJ"
2,"All mothers deserve access to quality maternal health care, which is why I am calling for #BlanketChange to put moms and babies first. 

To learn more about improving and expanding access to maternal health care, visit https://t.co/Y2HbMeuRAa."
3,"It is time for Congress to put politics aside and come together to deliver #COVID19 relief.
 
The American people deserve an effective, bipartisan solution that serves the needs of our communities."
4,"Tomorrow at 4PM, Georgia's Under Secretary for Benefits is hosting a tele-Town Hall for #Veterans and their families. The discussion will cover the VA's COVID-19 response, the Blue Water Navy Act, and the Solid Start program. 

Veterans, I encourage you to tune in at 833-380-0417"
5,"I appreciate the efforts of our leaders at @ATLairport to ensure the world’s busiest airport is as safe as possible for travelers during the continued public health emergency, as well as their commitment to engaging with the public. Read more below. 

https://t.co/YazR0LuWiO"
6,"L’shanah tovah u’metukah! 

I want to extend my wishes for a happy and healthy new year to all celebrating Rosh Hashanah this weekend. As we move from 5780 to 5781, I hope this High Holiday season brings a special sense of joy and renewal to you and your family. https://t.co/ZfWhgNtO7O"
7,"Today marks 19 years since the horrific attacks committed against America on September 11th. Today, we mourn those whom we lost, and we celebrate the heroism of our police and firefighters who charged into danger to save lives at the risk of their own. #NeverForget https://t.co/vYum7gp1ie"
8,"I was honored to welcome Secretary @BetsyDeVosED to the 7th District today during her visit to Forsyth Central High School. I am proud of the efforts of all those at @FCSchoolsGA who are leading by example to ensure the safety of students, teachers, and staff as schools reopen. https://t.co/npqjd2IFyj"
9,"Today, the @ModernizeCmte passed a series of recommendations to ensure that Congress can continue to serve the American people through the duration of this pandemic and during future emergencies. I was proud to support this bipartisan initiative. 

https://t.co/9c1b4LMRG7"
10,"Congressman John Lewis – who served the people of Georgia in the House for more than three decades – will lie in state today at the U.S. Capitol. You can view a live stream of those services below. 
https://t.co/zXuWpSZBLT https://t.co/CEuReVdMNZ"
11,"Today, as Americans joyfully celebrate #Juneteenth, the world community is drawing awareness to the fight against Sickle Cell Disease, which disproportionately affects people of African and Caribbean descent. Click below to learn more:
https://t.co/alrTZCp4vu"
12,"America’s leaders – from the President and Congress to city councils – are carefully examining additional pandemic response solutions. Click below for the latest from Capitol Hill:
https://t.co/w1Ka9vpg30"
13,I was deeply saddened by the news of Sam Johnson’s passing yesterday. Sam was a great American patriot who served our country with distinction for over 60 years. It is a great honor of mine to have met and worked with him here in Congress.
14,"Gwinnett County will be hosting a drive-thru farmer’s market this Wednesday from 3 – 7 pm at Coolray Field in Lawrenceville. This is an incredible opportunity to support our local farmers and buy fresh, healthy food. Click below to learn more:
https://t.co/mEOfOc3hX9"
15,"Today on #MemorialDay, I would like to honor the brave men and women who paid the ultimate price to protect our freedoms and their families. Their courage and sacrifice will never be forgotten. https://t.co/S8kYdRy613"
16,"To my constituents and all of our Muslim friends and neighbors who observe Ramadan across the nation, I hope this was a month of peaceful reflection, spiritual growth, and generosity. I wish you a Blessed Eid and hope you have a joyful breaking of fast with your loved ones."
17,"The Library of Congress is offering free, one-hour webinars for educators who would like to learn how to use primary sources to teach their students. Click below to learn more:
https://t.co/tVKb5WWo6Q"
18,"Today, the House passed the HEROES Act – a 1,800 page, $3 trillion bill that doesn’t have a chance of ever becoming law. I’m disappointed that my colleagues across the aisle failed to set aside their partisan agenda and address the real issues surrounding this pandemic."
19,"Yesterday in Rules Committee, I offered an amendment to allow the House to pass the emergency, Covid-related parts of the 1,800 bill and leave the liberal wish-list items where they belong; in another bill at another time. This amendment was defeated by every Democrat. @HouseGOP https://t.co/Yg6GHYzh5J"
20,"I would like to thank all of the high school artists throughout the Seventh District who participated in this year’s Congressional Art Competition. It is my honor to announce this year’s winners:
https://t.co/Dr6oWGYPGk"
21,"Amidst increased testing and a gradual, managed reopening of local businesses, Georgia has experienced a declining trend of new cases and deaths in the past 14 days. I’m proud of @GovKemp for making Georgia’s reopening a model for other states to follow.
https://t.co/bbmMBNI83r"
22,"Forsyth County Emergency Management and Georgia Highlands Medical have partnered up to offer free COVID-19 drive through testing on Wednesday, May 13, in Forsyth County. Be sure to call the number below and schedule an appointment prior to arrival: https://t.co/i6Lah4HbFp"
23,"Georgia nonprofits that offer humanities programming can now apply for COVID-related relief through Georgia Humanities. Click below to learn more:
https://t.co/LgXikhbzDs"
24,"Happy Mother's Day to all the Moms here in #GA07! Over the past few months, you have gone above and beyond to meet the incredible challenges posed by the pandemic. You deserve to be celebrated today and everyday."
