,Tweet
0,"Small business owners &amp; employees continue to face an uphill climb as we recover from this pandemic. At an Economic Development Lunch in Yakima, I spoke with community leaders &amp; local officials about the challenges facing businesses in #WA04 &amp; how I can support them in Congress. https://t.co/JnBEUiVzlH"
1,"I met with healthcare professionals and local officials in Yakima to discuss their needs and challenges heading into the winter months.

More from @kimatv: https://t.co/6F1vd70ZOg"
2,"Now, as a family of 12, the Dawson’s serve as an inspirational example of how families can thrive, even in the darkest of times. They are angels who truly exemplify the family values we hold dear in Central Washington."
3,"“The gray wolf has successfully recovered, and...locally-led conservation, with the support of local conservation districts, will continue to ensure the species will not return to ESA’s endangered or threatened list.” Tim Palmer, @NACDconserve 

https://t.co/4xssVkemb4"
4,"""WCA applauds today’s @Interior announcement regarding the removal of all gray wolves from the list of ESA-protected species. ...sincere gratitude to @RepNewhouse for all his efforts that were undoubtedly instrumental in bringing forth the delisting..."" Ashley House, @WaCattle"
5,"The @ChelanDouglasHD has been working to protect individuals &amp; families throughout NCW. In East Wenatchee, we discussed their important focus on getting COVID-19 safety info to Hispanic &amp; agricultural communities. https://t.co/cjevcBfrUf"
6,"Yesterday, I met with Douglas Co. business owners &amp; @WVChamber to learn how businesses &amp; employees are adapting to pandemic restrictions. https://t.co/71JVqnnM4E"
7,"""When EPA makes the decision to attack an entire industry based off of false science, it affects all of agriculture... Thank you, @RepNewhouse, for including us in the discussion and for your commitment to holding EPA accountable."" - Gerald Baron, @savefarming"
8,"""For years, our industry has been targeted by environmentalist groups &amp; federal bureaucrats touting shoddy science. @RepNewhouse understands that we need a positive change, or the American dairy industry will cease to exist."" - Adam Dolsen, Owner of Cow Palace @WADairyFarmers"
9,"“We are grateful to @RepNewhouse &amp; the @WestCaucusFound for providing a platform for these important conversations with EPA &amp; thankful for @RepRussFulcher's leadership on behalf of the Idaho dairy industry.” - Rick Naerebout, Idaho Dairymen’s Association"
10,"""Thank you, Congressman Newhouse and the Western Caucus Foundation, for hosting this roundtable, which will hopefully serve as a catalyst for the change Washington dairy farmers deserve.” - Dan Wood, @wadairyfed"
11,"We cannot allow federal agencies' regulatory decision-making to demonize whole industries, weaponize shoddy science, or rely on data that has not even been peer-reviewed.

More from the roundtable panelists &amp; participants 👇"
12,"Tonight, we celebrate the confirmation of Supreme Court Justice Amy Coney Barrett. She has proven to be a highly qualified constitutionalist who will serve our nation well, and I congratulate her on this incredible accomplishment. https://t.co/66x8nvan35"
13,"I am in Okanogan County today! 

✅ First stop: Afternoon meeting with local healthcare officials at Mid-Valley Hospital. Rural communities face unique healthcare challenges, which is why hearing from rural healthcare professionals is so critical during the pandemic &amp; beyond. https://t.co/udgjPF2hEm"
14,"Last week, I hosted a meeting with Benton, Franklin, &amp; Walla Walla County officials to discuss current and upcoming healthcare needs as we continue to combat the COVID-19 pandemic. 

More from @kimatv: https://t.co/WZDwGcISrV"
15,"I will continue to defer to the federal scientists, engineers, &amp; fish experts who worked tirelessly to develop this comprehensive plan to aid native fish species while continuing to support the PNW’s river system &amp; the clean, affordable power it provides for our families."
16,"This morning, I visited with members of @BFHD &amp; @WWCDCH to discuss their needs as Congress works on additional pandemic relief. Moving into winter, a coordinated effort and recovery plan will be key to beating this virus in #WA04. https://t.co/jnUSF8SAws"
17,And that’s a wrap! Thank you to all of the business owners who opened their doors to me &amp; shared how they are working to support the community of Connell through the COVID-19 pandemic and beyond. #ConnellMainStreetTour
18,"Imagination Station is the only licensed daycare facility in Connell. During the pandemic, staff took voluntary pay cuts to keep the doors open for children &amp; families, which shows true dedication to their community. #ConnellMainStreetTour https://t.co/xTH1FpHMn7"
19,"After opening this location 4 years ago, Dayanna’s Salon struggled through state lockdowns, but she is excited to safely engage with customers again. #ConnellMainStreetTour https://t.co/mnQkVaQ36q"
20,"For decades, the Connell Small Mall has been bringing local vendors together in one place. Business snapped back when COVID-19 restrictions were lifted. #ConnellMainStreetTour https://t.co/Z6R54XxTpB"
21,Pizza Station survived the economic lockdowns - like many local restaurants across #WA04 - through curbside pickup and by starting a delivery service. #ConnellMainStreetTour https://t.co/mGM4Ll0mUf
22,Last stop: #ConnellMainStreetTour! I visited with small business owners to see firsthand how they have adapted their businesses to comply with pandemic regulations while supporting the local economy in Connell. https://t.co/Gs0LdEuGUq
23,Down to rural Franklin County where I met with City of Connell officials to learn how they are applying state COVID-19 regulations to their targeted local response. Thank you for your hard work keeping the community of Connell safe &amp; healthy! https://t.co/a58qTmCDA6
24,"My next stop in Adams County is an Economic Development Lunch at Casa Mexicana with local officials &amp; leaders. Small businesses in rural communities have struggled to survive shutdowns &amp; keeping up with pandemic protocols, but together, we can forge a path to economic recovery. https://t.co/tbbPU2a7UQ"
25,"I am starting today meeting with the Adams County Health Department &amp; local healthcare officials at @CBHA_WA. I am encouraged by their dedication to working with schools, businesses &amp; local government to develop a comprehensive COVID-19 recovery strategy + fight pandemic fatigue. https://t.co/F95L6HmWEC"
26,Now for the #QuincyMainStreetTour! I am touring around Quincy to learn about new &amp; developing projects and hear firsthand about COVID-19 impacts on our local economy.
27,Lunch stop: I was joined by local leaders to discuss economic development in Grant Co. Their insight into the needs of small businesses &amp; local schools is invaluable as we explore future pandemic relief and navigate into economic recovery. https://t.co/mWKFlV2rdi
28,"I am in Grant County today to learn more about how I can help promote the public &amp; economic health of Central Washington in Congress. 

✅ First stop: Meeting with healthcare officials from @GCHD_WA in Moses Lake! https://t.co/0E3ZXflo2l"
29,We discussed the impacts COVID-19 &amp; the recent wildfires have had on our agriculture industry + ongoing conservation projects. I am grateful for the support of @BillAtUSDA &amp; his team for helping #WA04 farmers &amp; ranchers through these difficult times.
30,I strongly support the Trillion Trees Initiative &amp; this Executive Order from President @realDonaldTrump solidifies the U.S. commitment to healthier forests and cleaner air. https://t.co/MjLSYQAiAO
31,"Happy birthday, @USNavy! Thank you to each and every brave American who has served our country in the U.S. Navy over the past 245 years. We are eternally grateful for your service and sacrifice. #Navy245 https://t.co/HjY5zFL5Jm"
32,"RT @PNWAgNetwork: @RepNewhouse acknowledges #China is tough when it comes to negotiations, but added he's more optimistic about trade deals…"
33,"I am grateful for the tribes, advocates, and community members who have helped bring awareness to this issue and for all of my colleagues in Congress who helped us take this important step. #EndMMIW"
34,RT @awbolympia: .@RepNewhouse: I am the very first non-Californian to be a co-chair of the Congressional Wine Caucus. In the '80s WA had ab…
35,"Thank you to @TheNJCA for inviting me to join your  conference to discuss my support for Job Corps Civilian Conservation Centers! I am proud to represent 2 Job Corps CCCs in #WA04 who work to train &amp; educate the future generation in conservation, stewardship, and land management. https://t.co/ZYAIwAkXNo"
36,RT @RepDelBene: It was a pleasure to talk with @RepNewhouse about working across the aisle &amp; the need to find common ground in our polarize…
37,"RT @awbolympia: .@RepDerekKilmer: ""I really appreciate the work that AWB has done. Giving members of Congress, like me &amp; @RepNewhouse, the…"
38,"From Sept 15 - Oct 15, we celebrate #HispanicHeritageMonth! 

In #WA04 &amp; across the country, we are proud of our Hispanic friends and neighbors who prove the American dream is alive and well. Because of them, we are a stronger, more diverse, and more prosperous society. https://t.co/QgRabwLTVz"
39,"RT @CascadiaCollege: TUNE IN. TURN UP. 10/5 - 5 PM PST

Join Cascadia President Eric Murray and U.S. Reps Susan DelBene (D-WA) &amp; Dan Newhou…"
40,"As wildfires burn across the West, it is the federal government's responsibility to give our local communities the tools they need to manage our lands and create healthy, resilient forests and grasslands. https://t.co/4qNRDXhcM4"
41,"RT @RepWesterman: Special thanks to my colleagues @RepNewhouse, @RepGosar, @CongressmanGT and @USRepGaryPalmer for joining me to speak. Con…"
42,"RT @PNWAgNetwork: @RepNewhouse says local fairs are important for the farm community and non-farm community alike

https://t.co/WS5ARD8qTs…"
43,Nicole Berg is a fourth-generation farmer from #WA04 whose service to @WAWheatGrowers &amp; @wheatworld has benefited our region + the world. I spoke on the House floor to congratulate her for being named to the FCIC Board of Directors! https://t.co/xLoa5uEsL1
44,"The Record of Decision on the Columbia River System Operations delivers certainty to not only our agriculture industry in #WA04, but to the millions of people who rely on the clean &amp; reliable power produced by our hydroelectric dams.

More from my colleagues in the PNW 👇"
45,RT @franklinpud: Thank you @RepNewhouse and @EnergyNorthwest for talking with Franklin PUD about the significant roll nuclear energy will p…
46,RT @NAFISschools: This week @RepNewhouse and @RepMikeLevin introduced a resolution to honor the 70th anniversary of #ImpactAid. Thank you f…
47,RT @WSUTriCities: .@beerinstitute named #WSU alum &amp; Rep. @RepNewhouse a “2020 Beer Champion” for his leadership in supporting federal polic…
48,RT @hgoldmann: Thank you @RepNewhouse for your leadership and support of #ImpactAid https://t.co/TZK0l8bnyG
49,"With an economic impact of over $700 million in #WA04 alone, the beer industry showcases the best that Central Washington has to offer – from highlighting our nation’s largest hop growing region to creating tourism opportunities for visitors from around the world."
50,"ICYMI: I introduced Savanna's Act to help law enforcement agencies at all levels respond to and investigate cases of missing and murdered indigenous women. Now, the bill is headed to President Trump's desk! #EndMMIW https://t.co/6t1y0kiX5j"
51,Western cattlemen &amp; sheep producers provide food and fiber for our nation and the world. Wishing @PLCranching and its partners who advocate for America’s ranchers a successful annual meeting. Thank you for all you do for rural prosperity! https://t.co/atWsDbIKhE
52,RT @repdonyoung: NEW: The House has sent two major pieces of legislation to combat the epidemic of Missing and Murdered Indigenous Women an…
53,"There is no greater sacrifice than putting oneself in harms way for their country, and we owe it to POW/MIA troops to never forget their service. Please join me today in saluting  our uniformed men &amp; women who are missing in action or imprisoned for their service to America. https://t.co/DrZaJxvVb1"
54,"Outside of my office in Washington, D.C., I proudly display a flag supporting America's soldiers who are prisoners of war or missing in action (POW/MIA). Please join me today in saluting and honoring our troops who are missing in action or imprisoned for their service. #POWMIADay https://t.co/O6abZKV0T7"
55,"BREAKING NEWS: @SecretarySonny announced a second round of COVID-19 relief from @USDA that will benefit our agriculture industry in #WA04. 

https://t.co/wsPqpmJMR3"
56,RT @GlyndaBecker: Thank you @RepNewhouse for joining @USAID @FeedtheFuture in announcing @WSUvetmed and the Innovation Lab our team receive…
57,"RT @repdonyoung: I want to thank my friend, @RepNewhouse, for helping to lead the charge in the fight against Missing and Murdered Indigeno…"
58,"Agritourism is culturally and economically central to our way of life, but it is even more apparent this year. The gates on our fairgrounds remain closed, &amp; many of the small farms, who rely on fall visitors, worry about what this season will look like for their livelihoods."
59,".@RepDustyJohnson: “I want to thank my colleagues...for trying to make sure that all the murdered &amp; missing indigenous women and all of the women who have been victimized...This is an American problem, and it is time that we act.” https://t.co/4owwK2Xasj"
60,"RT @PNWAgNetwork: @RepNewhouse said this legislation will help ""ensure long-term success for all who rely on this infrastructure for clean…"
61,"RT @AIPAC: Thank you @RepNewhouse!

🇺🇸🇮🇱🇦🇪🇧🇭
#ANewEra https://t.co/8k8W2iwNEr"
62,RT @PNWAgNetwork: @RepNewhouse &amp; Congressman Mike Thompson are asking Ag Secretary Sonny Perdue for #coronavirus aid for the wine industry.…
63,"We will never forget the brave civilians, firefighters, police, and medical personnel who made the ultimate sacrifice 19 years ago, and may we always remember our nation's resilience in those challenging times."
64,"RT @RepThompson: Coronavirus has taken a huge hit on so many agricultural producers, including grape growers in our district and across our…"
65,"Today is #SuicidePrevention Day. Even before COVID-19, we saw an unfortunate spike in rates of mental health issues across the country. The loneliness &amp; anxiety brought on by prolonged isolation +  financial pressures of extended economic shutdowns may be overwhelming. #WSPD2020 https://t.co/6r4iserhW5"
66,"I enjoyed the opportunity to update you on my work in Congress + answer your questions about the future of a COVID-19 vaccine, the benefits of commercial nuclear energy development, &amp; how our communities can work together with law enforcement to create a more just, equal society."
67,"RT @PNWAgNetwork: @RepNewhouse says without #broadband internet, farmers cannot use the latest technology available, putting them at a disa…"
68,"Happy Labor Day, Central Washington! I invite you to join me today in celebrating America's workforce. Throughout the pandemic, our country has developed an even stronger appreciation for the hardworking men and women who make our country great. https://t.co/CwexWSnKRY"
69,"Did you know the Paycheck Protection Program helped saved over 50 million jobs since the outbreak of the COVID-19 pandemic? This vital assistance program ended on August 8, but the needs of the small and locally owned businesses that power our economy did not. https://t.co/lKaWWgh2sq"
70,"This week, I joined my colleagues in sending a letter to @USDA @SecretarySonny, urging the inclusion of American wheat growers in upcoming COVID-19 aid packages. Read the letter on my website 👇👇 

https://t.co/C7rPWkw8br"
71,"The Fire Center is known as the center of fire operations for Colorado and surrounding states, and it was an honor to meet with the brave men and women who put their lives on the line to protect and support our communities throughout the West. https://t.co/rJxGgRV3lp"
72,"RT @sportfishpolicy: ""Hunters, fishers, and farmers are the original conservationists."" Thank you @RepNewhouse! Read more in @culestar. #We…"
73,RT @BThompsonNews: .@RepNewhouse of Washington’s fourth CD speaking now: “by centralizing the decision makers on resource issues...we can b…
74,RT @OrganicTrade: Thank you @RepNewhouse for telling USDA that organic is an important part of the economy and this is not the time to incr…
75,RT @CongressmanGT: 🚨ATTENTION FARMERS—the deadline to apply for the Coronavirus Food Assistance Program is quickly approaching. Click the l…
76,"RT @RiponAdvance: Washington's @RepNewhouse is urging the USDA to address changes in the Organic Certification Cost Share Program, particul…"
77,"Did you know Central Washington has the 4⃣th highest number of organic producers in the United States? The organic agriculture sector is growing across the country, and - like all producers - organic growers are negatively impacted by the COVID-19 pandemic."
78,"@tricitychamber It was a pleasure to spend time with these community &amp; business leaders to share how I am working in Congress to safely reopen our businesses, support the important work at the @HanfordSite, and empower #WA04 communities to emerge from this pandemic even stronger than before."
79,"100 years ago, the #19thAmendment to the Constitution guaranteed all women the right to vote in the United States. We remember and honor the brave women who fought so hard to make America live up to our promise of liberty and justice for all! https://t.co/PlPbrhBoec"
80,Thank you Commissioner Burman &amp; all of the women at @usbr who do essential work for our communities in #WA04 and set an example for the future generation of female leaders across the country. https://t.co/nek8EdbjVH
81,"WATCH: I've said it since the very beginning of this pandemic: #HousingIsEssential. Thank you @BIAW2 for ensuring our Central Washington families have access to safe, stable, and affordable housing. https://t.co/UJ9UXH348r"
82,"Happy 104th birthday @NatlParkService! Thank you to all of the NPS employees who work hard to keep our public lands beautiful for current &amp; future generations. Entry fees are waived today, so I encourage you to celebrate, #FindYourPark, and #RecreateResponsibly. https://t.co/Rr5ZxhC4b2"
83,RT @NatlHydroAssoc: Thank you Congressman @RepNewhouse for being a #hydropower champion and your continued support. #HydroDay https://t.co/…
84,"USPS is a self-funded independent agency, but Congress has &amp; will continue to work to improve USPS, so it can continue to deliver for communities across the country throughout this pandemic and into the future."
85,Slade Gorton was a giant for Washington state and for our nation. He was a strong leader and a fiercely passionate intellectual whose widespread influence will continue to inspire for generations to come. https://t.co/81SHnO8r9A
86,"RT @RepWesterman: Forestry is essential, providing everything from shipping boxes to paper towels. Even during COVID-19, we require guest w…"
87,RT @WAWheatGrowers: @RepNewhouse stopped by the WAWG office in Ritzville last week to talk to growers about some of their issues and concer…
88,"Learn more about how I am working with my colleagues in Congress and the Administration to increase access to healthcare for our rural communities - throughout this pandemic and beyond. 

https://t.co/iBKVbhNRoS"
89,The expansion of telemedicine may be a silver lining of the dark cloud that is the COVID-19 pandemic.
90,RT @ScienceUnderSec: Thanks to @RepNewhouse and @cathymcmorris for visiting the AVANTech to learn about our TSCR process to accelerate clea…
91,RT @chadekruger: Talking #CosmicCrisp and #TreeFruit with @RepNewhouse at the @wsucahnrs @TfrecWsu Sunrise Research Orchard! https://t.co/C…
92,"The COVID-19 pandemic has shed light on the reality that fast, reliable internet access is no longer a luxury, but a necessity."
93,RT @BenCoWAGov: We had the honor of hosting the kick-off of @RepNewhouse's half-day tour of selected public lands along the Columbia River…
94,Great to be with @awbolympia today at their Federal Affairs Summit to discuss expanding rural broadband access and steps Central Washington Businesses are taking to help develop a COVID-19 vaccine. https://t.co/gpOxwtQgtL
95,RT @awbolympia: .@RepNewhouse notes the importance of broadband for rural areas. Says there is a push to improve it. “A silver lining in th…
96,RT @awbolympia: .@RepNewhouse says food shortages &amp; empty grocery store shelves during the pandemic have proven how crucial farmers and the…
97,"RT @awbolympia: Dr. Ashby of @PNNLab, speaking w/ @RepNewhouse, says PNNL's skilled scientists have worked on COVID-19 testing research, ar…"
98,"RT @danielggarza: Adams County, @RepNewhouse and I will be in your area discussing  Federal policy impacting our communities across Central…"
99,"If you are a Central Washington veteran who needs assistance retrieving medals or honors you have earned, please contact my office in Tri-Cities at (509) 713-7374."
100,"Today is #NationalPurpleHeartDay. While no award or medal can adequately account for the gratitude we owe to those who have selflessly given life &amp; limb in defense of liberty, we offer this humble token of recognition as a symbol of great &amp; meritorious service to our nation. https://t.co/UZGa5PbWmf"
101,I have been working to enhance these services through legislation like the Increasing Rural Health Access During the COVID-19 Public Health Emergency Act &amp; this Executive Order will continue to strengthen our ability to care for patients of all ages and all walks of life.
102,"Telemedicine has proven to increase access and improve the quality of care for patients in rural areas, and further development of these technologies are supported by many of our local hospitals and clinics in #WA04."
103,"Yesterday, President @realDonaldTrump signed an Executive Order to ensure patients in rural communities like ours can continue to access telehealth services beyond the COVID-19 pandemic.

https://t.co/6X7FMF0koj"
104,"RT @FarmBureau: Broadband was already a necessity of modern life. Now, because of #COVID19, it’s more important than ever. #RuralBroadbandD…"
105,"RT @CongressionalAC: 🚨Washington State Coders🚨:
@RepDelBene
@RepKimSchrier
@HerreraBeutler
@RepNewhouse
@cathymcmorris
@RepRickLarsen
@RepJ…"
106,"RT @FWDus: As #COVID19 strains U.S. agriculture, @RepNewhouse says #immigration reform more urgent than ever https://t.co/rs3SdPrROL via @W…"
107,RT @ghalling: US House needs to vote soon on #MMIW bills. A @Yakima_Herald editorial. @RepNewhouse https://t.co/OP553t0i8M https://t.co/x9U…
108,RT @WAAgNetwork: @RepNewhouse said the funds would be dedicated to reimbursing growers and Ag employers for their efforts to keep essential…
109,RT @publicpowerorg: Thanks @RepNewhouse for highlighting the importance of wildfire management! https://t.co/fzqZWaIn63
110,RT @LibnOfCongress: Thank you @RepNewhouse and Congress for honoring and supporting the @librarycongress Veterans History Project. VHP is a…
111,"For 20 years, the VHP has collected the stories &amp; accounts of those who sacrificed to protect &amp; defend our great country, so we can be sure they are never forgotten."
112,RT @WesternGrowers: Thank you @RepNewhouse for providing resources for PPE and other safety measures for #agriculture in #HR7608.
113,"RT @nmpf: #Dairy farmers and workers continue to work every day to ensure our nation has access to healthy, affordable food, but the broken…"
114,"RT @westerncaucus: The current pandemic has shown us many things, first among them is we cannot continue to rely on other countries to meet…"
115,"I led a bipartisan letter with @RepDeanPhillips to urge House leadership to help small businesses maximize their PPP dollars by including legislation like my bill, the FIRST Act, in the next COVID-19 relief package.

Read more ⬇️
https://t.co/LxFpVcxide"
116,"Today is Korean War Veterans Day, honoring the courageous Americans who risked and sacrificed their lives in defense of our freedom. Today and every day, #WA04 thanks you! 🇺🇸 https://t.co/IFRt7cKqOL"
117,"RT @rebuild_news: 36,000 journalists have been laid off, furloughed, or had their pay cut since the COVID-19 pandemic began. Ask Congress t…"
118,"RT @Fertilizer_Inst: A tip of the TFI hat to @RepNewhouse, @RepDarrenSoto, and @RepBobGibbs, for securing $1M for @4R_Research in the FY21…"
119,RT @CoreyRosenbusch: Thank you @RepNewhouse &amp; @RepDarrenSoto for introducing this amendment to the FY21 Ag Approps bill to support fertiliz…
120,This decision by Interior — based on years of scientific research and thousands of public comments from concerned community members — is a step forward for our communities who finally feel they have been heard.
