,Tweet
0,RT @CornynResponse: Cornyn Masks for the WIN! https://t.co/KOjIYnDdX6
1,"RT @TeamCornyn: It was a chilly morning in #Tyler, but hearing the whole crowd sing “God Bless America” sure warmed us all up! With this pa…"
2,"Economy Grows at Record Pace in Third Quarter, Remains Below Pre-Pandemic Levels https://t.co/QLEyQPaJlK"
3,The positive experience of Massachusetts parochial schools in handling Covid with classroom instruction shows unions are wrong to fight re-openings. https://t.co/MNLtm7tvoX via @WSJ
4,RT @TonyGonzales4TX: I am fighting for the #TX23 men and women who believe in the dignity of work. Hard working Americans like those studyi…
5,RT @EPCountyJudge: The County of El Paso in coordination with OEM and TDEM have added an additional mega testing site at Ascarate Park.  Th…
6,RT @LawAmericanX: An astonishing comment from someone whose interest in the Supreme Court is largely driven by ensuring that the “unborn” h…
7,"In Texas, we know American history isn’t properly told w/o the culture &amp; stories of Latinos who helped build our country. Looking forward to advocating on behalf of the nearly 40% of Texans who identify as Hispanic for a national museum that highlights their American experience. https://t.co/bFlstLKrTx"
8,"RT @JonathanTurley: Markey’s comments are deeply insulting to the many citizens, judges, and professors who hold originalist views.  It is…"
9,"RT @hughhewitt: This AM: Senators @JohnCornyn and @ThomTillis, both of whom got to vote yes for Justice Amy Coney Barrett Monday. To celebr…"
10,"RT @jacklgoldsmith: .@noahfeldman: ""ironic that...Harvard Law students are objecting...to the fact that a justice who went to [&amp; taught at]…"
11,"RT @FWPOA: Police Cannot Fix America’s Law Enforcement Crisis Alone, Voters Can! - National Police Association. Vote for candidates who sup…"
12,"RT @MarkDavis: The #AmyConeyBarrett confirmation is tonight.  One of the votes will come from TX Sen @JohnCornyn, who joins us next.  Liste…"
13,RT @JeremySWallace: NEW: Federal disaster teams are now also heading for El Paso this week to deal with the surge in COVID-19 hospitalizati…
14,"Not so.  Senate Democrats have blocked bill after bill on the Senate floor that would have provided additional COVID-19 relief, since the Congress passed 4 bills earlier this year totaling $3.8 trillion.  They can't defeat her on the merits, so they try to change the subject. https://t.co/ENIdIOTUpP"
15,RT @GovAbbott: .@TDEM is establishing an alternate care site in El Paso to expand hospital capacity and assist with the region’s #COVID19 r…
16,"History is replete with Justices who diverged from the agendas of the President’s who appointed them: Blackmon, Souter, Kennedy,   and Roberts to name a few.  That is because judicial independence is the cornerstone of our constitutional republic. https://t.co/slaPFgaiTj"
17,RT @ABC: “Russia continues to spread COVID-19 disinformation and conspiracy theories that have the greatest potential to impact U.S. public…
18,RT @kseliger: This pandemic is very much not over and we’ve seen confirmed cases increasing in #SD31. It’s on each of us to take the necess…
19,"RT @WesleyHuntTX: Thank you to everyone who joined @JimMurphy133 and me for our Get Out The Vote Rally today! 

With your support, we can g…"
20,"Rather than considering Judge Barrett’s nomination based on her merits, Democrats have tried to hijack the process. They’re trying to stoke fears about how she will rule on hypothetical cases that have not and may never come before the Court."
21,"Joe Biden is planning to destroy the Texas energy industry. He's not a friend of the domestic energy industry or the hundreds of thousands of people who depend on it for their jobs.
https://t.co/Uahxncxx86"
